vx,vy,vz,ax,ay,az,t,id
0.06197929382324219,0.04891633987426758,0.08931636810302734,-0.6391746317626901,-0.2772002707723268,-1.1386040807999394,5.0204503536224365,1
-0.03834247589111328,0.15696287155151367,0.08880496025085449,-0.47666136731013214,-1.0597300809430528,-0.8727230150642608,5.0204503536224365,3
0.008795180176106207,0.0037348740276247445,0.017594574505088265,-0.8861450256424644,-0.3318880035492317,-0.12876312006417195,5.755934953689575,1
0.0011528139357497285,-0.0027964956401346844,0.02883047856892555,-0.8088649119116609,0.31539717899107517,-0.42605468752365006,5.755934953689575,3
0.0040715468067116815,0.002776487680563991,0.03216748240505877,-0.8382305827696918,-0.318749284592754,-0.27452487366330275,5.85608172416687,1
-0.006537815726483513,-0.0036452192966786945,0.0400164338537387,-0.7413324225399966,0.3258636854099804,-0.5542909497233441,5.85608172416687,3
0.0011124000447818433,0.0054268209893452565,0.007639115510953687,-0.814589388225112,-0.34456894643187175,-0.053262049192382366,5.956256151199341,1
-0.016068463816032375,0.010418924616436365,0.018684509531624795,-0.6517811841059253,0.20027125068822998,-0.36930200641207434,5.956256151199341,3
-0.009774091363787929,0.004107321488115086,0.0013671223741247083,-0.7164109545878345,-0.3352147005178684,0.0021782725282646098,6.056384325027466,1
-0.04369909017291478,0.028795312723288714,0.002792597532510837,-0.4060210905952012,0.03717582754549031,-0.23610833030201978,6.056384325027466,3
-0.02363896507065859,-0.0008891840932464862,0.004434017064716413,-0.5996177617822683,-0.29990585330778313,-0.03839277495811747,6.156630754470825,1
-0.06321063307050623,0.044846660381670664,-0.017834866491448595,-0.24078526108494902,-0.09828910048729858,-0.058091165251270824,6.156630754470825,3
-0.02047389107243122,-0.0039000561482313307,0.004388545760808535,-0.6203373327925265,-0.274210870011785,-0.043855247205944956,6.2628021240234375,1
-0.04415665356541269,0.03441886580572712,-0.017565412689500282,-0.4080483482103505,-0.007032927856910191,-0.07098807671683359,6.2628021240234375,3
-0.05808722490670464,-0.013589448039190004,0.015870331957618784,-0.29973429937289003,-0.20319292073240333,-0.17810646736035318,6.362952709197998,1
