x,y,z,t,curve,mode
-0.5757468938827515,0.5456098318099976,1.0967973470687866,5.019227981567383,1,0.1
-0.5913208723068237,-0.2924233376979828,1.1182748079299927,5.019227981567383,5,0.1
-0.5755606293678284,0.5457598567008972,1.1100596189498901,5.475133419036865,1,0.1
-0.5925801992416382,-0.29194968938827515,1.1286877393722534,5.475133419036865,5,0.1
-0.5776885747909546,0.544926106929779,1.1152280569076538,5.5751988887786865,1,0.1
-0.5933048129081726,-0.2926024794578552,1.1327781677246094,5.5751988887786865,5,0.1
-0.5787591338157654,0.5433838963508606,1.1179767847061157,5.675776720046997,1,0.1
-0.593540370464325,-0.2931278347969055,1.1351372003555298,5.675776720046997,5,0.1
-0.5806952714920044,0.538658618927002,1.1243141889572144,5.776793479919434,1,0.1
-0.5942621827125549,-0.29472342133522034,1.139794945716858,5.776793479919434,5,0.1
-0.5827324390411377,0.5321075916290283,1.1325384378433228,5.8848090171813965,1,0.1
-0.5951564311981201,-0.29752060770988464,1.1459362506866455,5.8848090171813965,5,0.1
-0.5864227414131165,0.5199865698814392,1.1486477851867676,5.996881484985352,1,0.1
-0.5973260402679443,-0.30363646149635315,1.157472848892212,5.996881484985352,5,0.1
-0.5880194902420044,0.5153108835220337,1.1551542282104492,6.1012122631073,1,0.1
-0.5980837941169739,-0.30605146288871765,1.162092685699463,6.1012122631073,5,0.1
-0.5911628603935242,0.5048496723175049,1.1692652702331543,6.2013020515441895,1,0.1
-0.599912703037262,-0.3111684024333954,1.174214482307434,6.2013020515441895,5,0.1
-0.5928043723106384,0.5004670023918152,1.1751059293746948,6.302114486694336,1,0.1
-0.6007584929466248,-0.31257346272468567,1.1794205904006958,6.302114486694336,5,0.1
-0.5978970527648926,0.4899330735206604,1.1882739067077637,6.402227163314819,1,0.1
-0.6039365530014038,-0.3156639039516449,1.1930540800094604,6.402227163314819,5,0.1
-0.6001870036125183,0.48588240146636963,1.1934430599212646,6.502576589584351,1,0.1
-0.6055532693862915,-0.31678661704063416,1.197571873664856,6.502576589584351,5,0.1
-0.6059627532958984,0.47553592920303345,1.2065389156341553,6.603017330169678,1,0.1
-0.6116248965263367,-0.320613294839859,1.2086172103881836,6.603017330169678,5,0.1
-0.6093346476554871,0.4686521589756012,1.2161972522735596,6.703165292739868,1,0.1
-0.6164743900299072,-0.32402631640434265,1.2146708965301514,6.703165292739868,5,0.1
-0.6123430132865906,0.46240413188934326,1.2254319190979004,6.803448915481567,1,0.1
-0.6218061447143555,-0.32759469747543335,1.2206248044967651,6.803448915481567,5,0.1
-0.6153395771980286,0.45676153898239136,1.2347850799560547,6.903739929199219,1,0.1
-0.6275633573532104,-0.3309497833251953,1.2268407344818115,6.903739929199219,5,0.1
-0.6183406710624695,0.45130690932273865,1.2442662715911865,7.003830909729004,1,0.1
-0.6340684294700623,-0.33405953645706177,1.2332948446273804,7.003830909729004,5,0.1
-0.6201927065849304,0.44804003834724426,1.2497084140777588,7.1046364307403564,1,0.1
-0.6374704837799072,-0.33557578921318054,1.2368863821029663,7.1046364307403564,5,0.1
-0.6242840886116028,0.44158950448036194,1.2586811780929565,7.210432052612305,1,0.1
-0.6445893049240112,-0.33832848072052,1.2437306642532349,7.210432052612305,5,0.1
-0.6304774880409241,0.4325913190841675,1.2692641019821167,7.310673475265503,1,0.1
-0.6544556617736816,-0.34169307351112366,1.252631664276123,7.310673475265503,5,0.1
-0.633193850517273,0.42878836393356323,1.2737324237823486,7.412513971328735,1,0.1
-0.6585763096809387,-0.34293249249458313,1.256149172782898,7.412513971328735,5,0.1
-0.639559268951416,0.4206829071044922,1.2840112447738647,7.512704133987427,1,0.1
-0.6684344410896301,-0.3455541133880615,1.2641832828521729,7.512704133987427,5,0.1
-0.6420762538909912,0.41766223311424255,1.2880491018295288,7.613410234451294,1,0.1
-0.6720937490463257,-0.34654149413108826,1.267068862915039,7.613410234451294,5,0.1
-0.6485713124275208,0.4101654589176178,1.2979148626327515,7.713508605957031,1,0.1
-0.6828801035881042,-0.34892597794532776,1.2749384641647339,7.713508605957031,5,0.1
-0.6534157395362854,0.4048227369785309,1.3036693334579468,7.813568115234375,1,0.1
-0.6903340816497803,-0.3504665791988373,1.2798739671707153,7.813568115234375,5,0.1
-0.6564324498176575,0.4014268219470978,1.3075071573257446,7.915683269500732,1,0.1
-0.6951048970222473,-0.3514077961444855,1.2829400300979614,7.915683269500732,5,0.1
