x,y,z,t,curve,mode
-0.25832659006118774,0.5902109742164612,1.1102263927459717,5.1060826778411865,1,0.1
-0.30608195066452026,-0.291088342666626,1.1242598295211792,5.1060826778411865,3,0.1
-0.2594393193721771,0.5916560292243958,1.120255470275879,5.543702125549316,1,0.1
-0.3066558837890625,-0.2918296754360199,1.138275146484375,5.543702125549316,3,0.1
-0.25984594225883484,0.5922647714614868,1.123873233795166,5.643985748291016,1,0.1
-0.30685776472091675,-0.2921348512172699,1.1414951086044312,5.643985748291016,3,0.1
-0.25957798957824707,0.5923605561256409,1.1309623718261719,5.744109153747559,1,0.1
-0.30726179480552673,-0.29300975799560547,1.14592444896698,5.744109153747559,3,0.1
-0.2597593367099762,0.5922521948814392,1.1405516862869263,5.844233274459839,1,0.1
-0.3078382611274719,-0.29479676485061646,1.151777744293213,5.844233274459839,3,0.1
-0.2603578269481659,0.592266857624054,1.1512365341186523,5.944876194000244,1,0.1
-0.30836278200149536,-0.2974117398262024,1.1591030359268188,5.944876194000244,3,0.1
-0.26082730293273926,0.5922205448150635,1.1580649614334106,6.046257257461548,1,0.1
-0.3087812662124634,-0.2994973957538605,1.163619875907898,6.046257257461548,3,0.1
-0.2618878483772278,0.5919389724731445,1.1730190515518188,6.146538972854614,1,0.1
-0.3095012903213501,-0.3048197329044342,1.17375910282135,6.146538972854614,3,0.1
-0.2626836895942688,0.5916724801063538,1.1846626996994019,6.246823072433472,1,0.1
-0.3105029761791229,-0.3087891638278961,1.1814645528793335,6.246823072433472,3,0.1
-0.2632676064968109,0.5912756323814392,1.1966105699539185,6.347091436386108,1,0.1
-0.3112744092941284,-0.31318414211273193,1.1892949342727661,6.347091436386108,3,0.1
-0.26390764117240906,0.5907792448997498,1.209000825881958,6.447372198104858,1,0.1
-0.31160759925842285,-0.31830278038978577,1.197335124015808,6.447372198104858,3,0.1
-0.26412433385849,0.5904383063316345,1.2179118394851685,6.549084901809692,1,0.1
-0.3117293119430542,-0.32239389419555664,1.2034790515899658,6.549084901809692,3,0.1
-0.2646406888961792,0.5899423360824585,1.2325458526611328,6.6494433879852295,1,0.1
-0.31234651803970337,-0.3295145034790039,1.2133533954620361,6.6494433879852295,3,0.1
-0.2646164894104004,0.589568555355072,1.240846037864685,6.750719308853149,1,0.1
-0.3129690885543823,-0.3332551121711731,1.2186108827590942,6.750719308853149,3,0.1
-0.26536211371421814,0.5888873934745789,1.2585521936416626,6.850988388061523,1,0.1
-0.31388363242149353,-0.3427664041519165,1.230988621711731,6.850988388061523,3,0.1
-0.2662366032600403,0.5883479118347168,1.2709976434707642,6.9512739181518555,1,0.1
-0.3144957721233368,-0.3493708074092865,1.239659309387207,6.9512739181518555,3,0.1
-0.26742321252822876,0.5877723693847656,1.2834640741348267,7.05147385597229,1,0.1
-0.31539463996887207,-0.35578885674476624,1.248319149017334,7.05147385597229,3,0.1
-0.2686801552772522,0.5872281789779663,1.2931880950927734,7.1638078689575195,1,0.1
-0.3163464069366455,-0.36074092984199524,1.2551747560501099,7.1638078689575195,3,0.1
-0.2713795602321625,0.5864428281784058,1.308760643005371,7.2640440464019775,1,0.1
-0.3178477883338928,-0.36933770775794983,1.2679166793823242,7.2640440464019775,3,0.1
-0.2740534245967865,0.5860627889633179,1.3198363780975342,7.364155292510986,1,0.1
-0.31965354084968567,-0.3757013976573944,1.2768861055374146,7.364155292510986,3,0.1
-0.2770008444786072,0.5854686498641968,1.3312987089157104,7.464332580566406,1,0.1
-0.32247114181518555,-0.3819350600242615,1.2859987020492554,7.464332580566406,3,0.1
-0.28007739782333374,0.5850794911384583,1.3414853811264038,7.56444787979126,1,0.1
-0.3256591856479645,-0.3880835771560669,1.2939060926437378,7.56444787979126,3,0.1
-0.2835528254508972,0.5850176811218262,1.3510431051254272,7.664560794830322,1,0.1
-0.32826104760169983,-0.3953836262226105,1.3024533987045288,7.664560794830322,3,0.1
-0.2870790660381317,0.5846366286277771,1.3605492115020752,7.7648468017578125,1,0.1
-0.3314841687679291,-0.4027461111545563,1.3104110956192017,7.7648468017578125,3,0.1
-0.2909065783023834,0.5842426419258118,1.369410753250122,7.8650221824646,1,0.1
-0.3349311351776123,-0.41044995188713074,1.3178987503051758,7.8650221824646,3,0.1
-0.29509902000427246,0.5839166045188904,1.3781479597091675,7.965308427810669,1,0.1
-0.3384881019592285,-0.4185072183609009,1.325420618057251,7.965308427810669,3,0.1
-0.29925182461738586,0.5833531022071838,1.3865770101547241,8.06557822227478,1,0.1
-0.34223219752311707,-0.42667099833488464,1.3328787088394165,8.06557822227478,3,0.1
-0.3040311634540558,0.5828137397766113,1.3947888612747192,8.165847778320312,1,0.1
-0.3462692201137543,-0.43480542302131653,1.3398977518081665,8.165847778320312,3,0.1
-0.3086813986301422,0.5822625160217285,1.4023373126983643,8.266134262084961,1,0.1
-0.3505203425884247,-0.4432325065135956,1.346907377243042,8.266134262084961,3,0.1
-0.31354930996894836,0.581163227558136,1.409568428993225,8.366408824920654,1,0.1
-0.3551863133907318,-0.45133739709854126,1.3536006212234497,8.366408824920654,3,0.1
-0.31820157170295715,0.5791608095169067,1.4163846969604492,8.466670274734497,1,0.1
-0.35978689789772034,-0.46011224389076233,1.3606457710266113,8.466670274734497,3,0.1
-0.3226075768470764,0.5763923525810242,1.4231975078582764,8.566890954971313,1,0.1
-0.36502721905708313,-0.46842825412750244,1.3666634559631348,8.566890954971313,3,0.1
-0.3279895484447479,0.5738550424575806,1.4296455383300781,8.667170763015747,1,0.1
-0.37060385942459106,-0.47738754749298096,1.3734705448150635,8.667170763015747,3,0.1
-0.33362627029418945,0.5715456008911133,1.4353513717651367,8.767380952835083,1,0.1
-0.3763572871685028,-0.4859766364097595,1.379908561706543,8.767380952835083,3,0.1
-0.3397602438926697,0.5698137879371643,1.4403434991836548,8.867675304412842,1,0.1
-0.38240450620651245,-0.4947480857372284,1.3862996101379395,8.867675304412842,3,0.1
-0.34628602862358093,0.5681403875350952,1.4452849626541138,8.967793941497803,1,0.1
-0.38905927538871765,-0.5031076073646545,1.3923730850219727,8.967793941497803,3,0.1
-0.35349375009536743,0.5670222640037537,1.4496312141418457,9.068015336990356,1,0.1
-0.39611080288887024,-0.5119783878326416,1.399025321006775,9.068015336990356,3,0.1
-0.3603186309337616,0.5658317804336548,1.4537850618362427,9.168391704559326,1,0.1
-0.4030124545097351,-0.5200065970420837,1.404877781867981,9.168391704559326,3,0.1
-0.3657142221927643,0.5652403831481934,1.4565579891204834,9.27476954460144,1,0.1
-0.4088860750198364,-0.526168704032898,1.4092823266983032,9.27476954460144,3,0.1
-0.3756026029586792,0.5641913414001465,1.4604461193084717,9.375056982040405,1,0.1
-0.420209676027298,-0.5368702411651611,1.4169459342956543,9.375056982040405,3,0.1
-0.38263505697250366,0.5639069080352783,1.4630738496780396,9.475341320037842,1,0.1
-0.42903634905815125,-0.5445877909660339,1.422179102897644,9.475341320037842,3,0.1
-0.38987618684768677,0.5632965564727783,1.4656652212142944,9.575676918029785,1,0.1
-0.4381393492221832,-0.5519460439682007,1.4270439147949219,9.575676918029785,3,0.1
-0.39775025844573975,0.562680721282959,1.4681135416030884,9.675820350646973,1,0.1
-0.44815754890441895,-0.5592853426933289,1.4312771558761597,9.675820350646973,3,0.1
-0.4051334261894226,0.5623641014099121,1.4702067375183105,9.775919437408447,1,0.1
-0.4582817852497101,-0.5658078789710999,1.4358786344528198,9.775919437408447,3,0.1
-0.41253378987312317,0.5622629523277283,1.4719526767730713,9.8760244846344,1,0.1
-0.4689582884311676,-0.5718674063682556,1.4408257007598877,9.8760244846344,3,0.1
-0.42034056782722473,0.5617397427558899,1.474157452583313,9.97614860534668,1,0.1
-0.4795784056186676,-0.5774921774864197,1.445231556892395,9.97614860534668,3,0.1
-0.4284898042678833,0.561880350112915,1.475704550743103,10.076425075531006,1,0.1
-0.49055981636047363,-0.5825160145759583,1.4495173692703247,10.076425075531006,3,0.1
-0.4360640347003937,0.5623423457145691,1.4778193235397339,10.176718950271606,1,0.1
-0.5016851425170898,-0.587198793888092,1.453557014465332,10.176718950271606,3,0.1
-0.4441862106323242,0.5633886456489563,1.480054259300232,10.276999235153198,1,0.1
-0.5141592621803284,-0.5921906232833862,1.4571475982666016,10.276999235153198,3,0.1
-0.4520893096923828,0.5647990703582764,1.482697606086731,10.377272844314575,1,0.1
-0.5263726115226746,-0.5968422889709473,1.460110068321228,10.377272844314575,3,0.1
-0.46013984084129333,0.5663500428199768,1.4852725267410278,10.477532863616943,1,0.1
-0.5387657284736633,-0.6013236045837402,1.4627563953399658,10.477532863616943,3,0.1
-0.46832841634750366,0.567692756652832,1.486995816230774,10.577805757522583,1,0.1
-0.5516971349716187,-0.6057097315788269,1.4648191928863525,10.577805757522583,3,0.1
-0.4742814004421234,0.5682482123374939,1.4877287149429321,10.681491374969482,1,0.1
-0.5604184865951538,-0.6082374453544617,1.466199517250061,10.681491374969482,3,0.1
-0.4858517050743103,0.5701220631599426,1.4882491827011108,10.781771659851074,1,0.1
-0.5781458020210266,-0.6135420203208923,1.468339204788208,10.781771659851074,3,0.1
-0.49195271730422974,0.5708033442497253,1.4883793592453003,10.883460521697998,1,0.1
-0.5864154696464539,-0.6156514286994934,1.4690359830856323,10.883460521697998,3,0.1
-0.5035751461982727,0.5724437832832336,1.4873160123825073,10.983623027801514,1,0.1
-0.6045997142791748,-0.6195170283317566,1.469650387763977,10.983623027801514,3,0.1
-0.5129324793815613,0.5733714699745178,1.4869318008422852,11.083760738372803,1,0.1
-0.6181200742721558,-0.6215658783912659,1.4697096347808838,11.083760738372803,3,0.1
-0.5225496888160706,0.5745207667350769,1.4860106706619263,11.183905601501465,1,0.1
-0.6325260996818542,-0.6231114268302917,1.4690576791763306,11.183905601501465,3,0.1
-0.5310184955596924,0.5758073925971985,1.485016107559204,11.284093618392944,1,0.1
-0.6462680697441101,-0.6239362359046936,1.4681609869003296,11.284093618392944,3,0.1
-0.5405212640762329,0.5766369104385376,1.4838405847549438,11.38437032699585,1,0.1
-0.6606788039207458,-0.6246166229248047,1.4669337272644043,11.38437032699585,3,0.1
-0.5497857332229614,0.5774741768836975,1.482464075088501,11.48465895652771,1,0.1
-0.6756142377853394,-0.6249167323112488,1.4656128883361816,11.48465895652771,3,0.1
-0.559475302696228,0.5782362222671509,1.4807407855987549,11.584919214248657,1,0.1
-0.691444993019104,-0.6244724988937378,1.4639675617218018,11.584919214248657,3,0.1
-0.5687940716743469,0.5790688395500183,1.4787099361419678,11.685089111328125,1,0.1
-0.7069823145866394,-0.6239668726921082,1.4621912240982056,11.685089111328125,3,0.1
-0.5781121850013733,0.5799241065979004,1.4767036437988281,11.785376787185669,1,0.1
-0.7223721742630005,-0.6228734850883484,1.4600721597671509,11.785376787185669,3,0.1
-0.5876113176345825,0.5805593729019165,1.4745688438415527,11.885481119155884,1,0.1
-0.7380420565605164,-0.6213734149932861,1.457536220550537,11.885481119155884,3,0.1
-0.5968690514564514,0.5814890265464783,1.4723007678985596,11.98563027381897,1,0.1
-0.7530949711799622,-0.6200990080833435,1.4551597833633423,11.98563027381897,3,0.1
-0.60614413022995,0.5823898911476135,1.4699538946151733,12.08593487739563,1,0.1
-0.7687886357307434,-0.6183817982673645,1.4510091543197632,12.08593487739563,3,0.1
-0.6157097816467285,0.582952082157135,1.467438817024231,12.186096668243408,1,0.1
-0.7838062047958374,-0.6164460182189941,1.4483058452606201,12.186096668243408,3,0.1
-0.6251373887062073,0.58351069688797,1.464768648147583,12.286263465881348,1,0.1
-0.798733115196228,-0.614817202091217,1.4446585178375244,12.286263465881348,3,0.1
-0.6348017454147339,0.5840067267417908,1.4618533849716187,12.38654088973999,1,0.1
-0.8141867518424988,-0.6121817827224731,1.4398554563522339,12.38654088973999,3,0.1
-0.6446396708488464,0.5841953754425049,1.4591474533081055,12.486814022064209,1,0.1
-0.8286522626876831,-0.6101585030555725,1.435699462890625,12.486814022064209,3,0.1
-0.6543156504631042,0.5847156047821045,1.4565657377243042,12.587166547775269,1,0.1
-0.843368649482727,-0.6078816652297974,1.4303348064422607,12.587166547775269,3,0.1
-0.6637948155403137,0.5848548412322998,1.4543371200561523,12.687429189682007,1,0.1
-0.8583506345748901,-0.6054263710975647,1.4250195026397705,12.687429189682007,3,0.1
-0.6734505891799927,0.5851603150367737,1.451877236366272,12.78770637512207,1,0.1
-0.8723600506782532,-0.6028528809547424,1.4201065301895142,12.78770637512207,3,0.1
-0.6826370358467102,0.5855106115341187,1.4494092464447021,12.888010501861572,1,0.1
-0.8862101435661316,-0.5992533564567566,1.414343237876892,12.888010501861572,3,0.1
-0.6915472745895386,0.585568904876709,1.4469550848007202,12.988126754760742,1,0.1
-0.8993760943412781,-0.5955772399902344,1.4091051816940308,12.988126754760742,3,0.1
-0.7006173729896545,0.5855507850646973,1.4446767568588257,13.088249444961548,1,0.1
-0.9121311902999878,-0.5916875600814819,1.4042878150939941,13.088249444961548,3,0.1
-0.7100669145584106,0.5855824947357178,1.4416964054107666,13.18852710723877,1,0.1
-0.9253173470497131,-0.5874197483062744,1.3987393379211426,13.18852710723877,3,0.1
-0.7192550897598267,0.5853859186172485,1.4391738176345825,13.288756608963013,1,0.1
-0.9376538991928101,-0.5828723311424255,1.3935165405273438,13.288756608963013,3,0.1
-0.7285758852958679,0.5846763849258423,1.43687903881073,13.388892889022827,1,0.1
-0.9503387808799744,-0.5778704285621643,1.387778878211975,13.388892889022827,3,0.1
-0.7378278970718384,0.5838810205459595,1.4344419240951538,13.489151239395142,1,0.1
-0.9621177315711975,-0.5730913877487183,1.3824913501739502,13.489151239395142,3,0.1
-0.7473001480102539,0.5829586386680603,1.432230830192566,13.589257717132568,1,0.1
-0.9740703701972961,-0.5677894353866577,1.37702214717865,13.589257717132568,3,0.1
-0.7554826736450195,0.581725001335144,1.4302136898040771,13.689555406570435,1,0.1
-0.9844578504562378,-0.563052237033844,1.3723292350769043,13.689555406570435,3,0.1
-0.7633177638053894,0.5804381370544434,1.4280983209609985,13.795825004577637,1,0.1
-0.9938654899597168,-0.5585684180259705,1.3682358264923096,13.795825004577637,3,0.1
-0.7754799127578735,0.5777445435523987,1.4242792129516602,13.897215604782104,1,0.1
-1.0092765092849731,-0.5502381920814514,1.3619410991668701,13.897215604782104,3,0.1
-0.785110592842102,0.5753053426742554,1.4209285974502563,13.997472763061523,1,0.1
-1.0213954448699951,-0.5434936285018921,1.3567105531692505,13.997472763061523,3,0.1
-0.7907037138938904,0.5735911130905151,1.4189910888671875,14.100656270980835,1,0.1
-1.0279769897460938,-0.5397344827651978,1.3542028665542603,14.100656270980835,3,0.1
-0.8038784265518188,0.5696579217910767,1.4136899709701538,14.200995206832886,1,0.1
-1.0433582067489624,-0.5300571322441101,1.3483495712280273,14.200995206832886,3,0.1
-0.8130372762680054,0.5664408206939697,1.4100067615509033,14.301125764846802,1,0.1
-1.0540826320648193,-0.5239138007164001,1.343745231628418,14.301125764846802,3,0.1
-0.8221958875656128,0.5630746483802795,1.406232237815857,14.401223421096802,1,0.1
-1.0654850006103516,-0.5164622664451599,1.3388042449951172,14.401223421096802,3,0.1
-0.8314040899276733,0.5594240427017212,1.4025534391403198,14.501397371292114,1,0.1
-1.076487421989441,-0.5094158053398132,1.3338897228240967,14.501397371292114,3,0.1
-0.8397911190986633,0.5559588670730591,1.397566556930542,14.601527214050293,1,0.1
-1.088157296180725,-0.5021895170211792,1.3286266326904297,14.601527214050293,3,0.1
-0.8480372428894043,0.5519562363624573,1.3925992250442505,14.70168948173523,1,0.1
-1.0992015600204468,-0.49466896057128906,1.3233815431594849,14.70168948173523,3,0.1
