x,y,z,t,curve,mode
-0.5528414249420166,0.5041117668151855,1.103110671043396,5.097138404846191,1,0.1
-0.5470908880233765,-0.5169856548309326,1.1164724826812744,5.097138404846191,5,0.1
-0.5515598058700562,0.5035005807876587,1.1136916875839233,5.540441989898682,1,0.1
-0.5476291179656982,-0.5167626738548279,1.1264140605926514,5.540441989898682,5,0.1
-0.5521443486213684,0.5037667155265808,1.115490436553955,5.647742748260498,1,0.1
-0.5475655198097229,-0.5170291662216187,1.1306463479995728,5.647742748260498,5,0.1
-0.5538853406906128,0.5036429166793823,1.114377498626709,5.755687475204468,1,0.1
-0.5475293397903442,-0.5176826119422913,1.1312865018844604,5.755687475204468,5,0.1
-0.5624246597290039,0.5024226903915405,1.1068651676177979,5.8745036125183105,1,0.1
-0.5497192144393921,-0.5232908725738525,1.12818443775177,5.8745036125183105,5,0.1
-0.5670729279518127,0.5019327402114868,1.1027640104293823,5.983680486679077,1,0.1
-0.5511816740036011,-0.5262070894241333,1.1254631280899048,5.983680486679077,5,0.1
-0.5756055116653442,0.5007614493370056,1.0960696935653687,6.088989019393921,1,0.1
-0.5548631548881531,-0.5314486026763916,1.1205066442489624,6.088989019393921,5,0.1
-0.5838667750358582,0.4995122253894806,1.0898237228393555,6.191762208938599,1,0.1
-0.5598074197769165,-0.5368395447731018,1.1151827573776245,6.191762208938599,5,0.1
-0.592981219291687,0.4975230395793915,1.0831856727600098,6.304657697677612,1,0.1
-0.5656619668006897,-0.5422912836074829,1.109395146369934,6.304657697677612,5,0.1
-0.6020194292068481,0.4955250024795532,1.0757774114608765,6.412459135055542,1,0.1
-0.571720540523529,-0.5472370386123657,1.1027172803878784,6.412459135055542,5,0.1
-0.6120463013648987,0.4932602047920227,1.0677722692489624,6.525050640106201,1,0.1
-0.5789265632629395,-0.5521131753921509,1.0961549282073975,6.525050640106201,5,0.1
-0.6223117113113403,0.49110350012779236,1.0601511001586914,6.642068862915039,1,0.1
-0.5875300765037537,-0.5571011304855347,1.088958978652954,6.642068862915039,5,0.1
-0.632274866104126,0.4891110360622406,1.0536446571350098,6.749375343322754,1,0.1
